,Arousal,Arousal.std,Frequency,Valence,Valence.std
#chowtime,2.97583883286,1.14876131415,0.0,2.13341386914,1.0995286864
#chrispine,3.25177060366,1.28031386137,0.566510558128,1.34829512835,0.968733054399
#christmasblend,2.39673643708,1.45419963598,1.07718491554,4.00712788582,0.694784270525
#christmasday,2.11616230845,1.55961809278,0.647144436836,3.40397973776,0.938359433413
#christmasincalifornia,2.14073347807,1.57772711992,0.654658555984,3.44350400448,0.949254906178
#chrysler,3.15299288511,1.47964683175,1.07610678673,1.44736362815,0.99001824379
#chsnews,1.99634966969,1.32540019393,9.34929597378,2.68379790306,0.62695278883
#chulavista,2.60337885737,1.56923033893,5.14501750469,4.04398375869,0.694577363133
#chulavistaarea,2.86026795387,1.31025919914,58.5434961319,3.79696389198,1.04820735931
#cidercocktails,2.2932862103,1.39143208265,1.03069043159,3.83416840553,0.664795328379
#cinemob,3.26862699509,1.0430689621,0.516370773315,3.76434293747,0.562844142914
#cio,3.33014631629,1.2664276582,0.573423564434,3.28447216094,0.791833146214
#cisid15,2.64551078618,1.09047083437,1.04618400335,2.61355058312,0.941144349575
#cityfarmersnursery,2.57287501574,1.29266149461,3.2978592515,2.56337561131,1.15543131858
#civicplatform,3.30551347554,1.05484000325,0.522198021412,3.80682357609,0.569195843339
#cl14,2.77043332696,1.24900797486,0.513995051384,1.84010228395,1.06910970688
#clerical,2.97522723079,1.26434865445,10.077129364,3.11359057128,0.814127918184
